TITLE;Computer Science
Elucidation of the helical spin structure of FeAs;0
A Brain-Inspired Trust Management Model to Assure Security in a Cloud based IoT Framework for Neuroscience Applications;1
The topography of the environment alters the optimal search strategy for active particles;0
A Neural Network Approach for Mixing Language Models;1
Iron Intercalated Covalent-Organic Frameworks: First Crystalline Porous Thermoelectric Materials;0
DCFNet: Deep Neural Network with Decomposed Convolutional Filters;1
Symmetries, Invariants and Generating Functions: Higher-order Statistics of Biased Tracers;1
Reversible Sequences of Cardinals, Reversible Equivalence Relations, and Similar Structures;1
A Longitudinal Study of Google Play;0
Nonparametric Variational Auto-encoders for Hierarchical Representation Learning;0
Corpus-compressed Streaming and the Spotify Problem;1
An intrinsic parallel transport in Wasserstein space;0
Factor Analysis for Spectral Estimation;0
Effects of Images with Different Levels of Familiarity on EEG;0
Image synthesis with graph cuts: a fast model proposal mechanism in probabilistic inversion;1
Graded super duality for general linear Lie superalgebras;0
On a Formal Model of Safe and Scalable Self-driving Cars;0
A Low-power Reversible Alkali Atom Source;0
GoT-WAVE: Temporal network alignment using graphlet-orbit transitions;1
Randomness-induced quantum spin liquid on honeycomb lattice;1
Symmetric structure for the endomorphism algebra of projective-injective module in parabolic category;0
Cantor series and rational numbers;0
PAFit: an R Package for the Non-Parametric Estimation of Preferential Attachment and Node Fitness in Temporal Complex Networks;1
Kähler metrics via Lorentzian Geometry in dimension four;0
z-Classes and Rational Conjugacy Classes in Alternating Groups;1
Sleep Stage Classification Based on Multi-level Feature Learning and Recurrent Neural Networks via Wearable Device;1
Martin David Kruskal: a biographical memoir;0
Unified theory for finite Markov chains;1
A Simulator for Hedonic Games;0
Estimating Large Precision Matrices via Modified Cholesky Decomposition;1
High order conformal symplectic and ergodic schemes for stochastic Langevin equation via generating functions;0
Crowd ideation of supervised learning problems;1
Joins in the strong Weihrauch degrees;0
Advanced LSTM: A Study about Better Time Dependency Modeling in Emotion Recognition;0
A combinatorial model for the free loop fibration;1
On the number of circular orders on a group;0
Preparation and Measurement in Quantum Memory Models;1
Detailed proof of Nazarov's inequality;1
TRPL+K: Thick-Restart Preconditioned Lanczos+K Method for Large Symmetric Eigenvalue Problems;1
Behavior of l-bits near the many-body localization transition;1
ROPE: high-dimensional network modeling with robust control of edge FDR;0
Developing Robot Driver Etiquette Based on Naturalistic Human Driving Behavior;1
e-Fair: Aggregation in e-Commerce for Exploiting Economies of Scale;1
Stable spike clusters for the precursor Gierer-Meinhardt system in R2;0
Solvability of curves on surfaces;0
Kernel-based Inference of Functions over Graphs;1
Noncommutative products of Euclidean spaces;1
X-ray and Optical Study of the Gamma-ray Source 3FGL J0838.8$-$2829: Identification of a Candidate Millisecond Pulsar Binary and an Asynchronous Polar;1
Adversarial Variational Inference and Learning in Markov Random Fields;1
Geometric k-nearest neighbor estimation of entropy and mutual information;0
Resonant Electron Impact Excitation of 3d levels in Fe$^{14+}$ and Fe$^{15+}$;0
Automated Top View Registration of Broadcast Football Videos;1
Reservoir Computing for Detection of Steady State in Performance Tests of Compressors;1
Temporal-related Convolutional-Restricted-Boltzmann-Machine capable of learning relational order via reinforcement learning procedure?;1
Predicting how and when hidden neurons skew measured synaptic interactions;0
Humanoid Robots as Agents of Human Consciousness Expansion;0
Reinforcing Adversarial Robustness using Model Confidence Induced by Adversarial Training;1
Stateless Puzzles for Real Time Online Fraud Preemption;1
Multi-Period Flexibility Forecast for Low Voltage Prosumers;1
Assessing the Economics of Customer-Sited Multi-Use Energy Storage;1
A Hamiltonian approach for the Thermodynamics of AdS black holes;0
Dzyaloshinskii Moriya interaction across antiferromagnet / ferromagnet interface;1
Pore cross-talk in colloidal filtration;1
Temporal Markov Processes for Transport in Porous Media: Random Lattice Networks;0
Defect Properties of Na and K in Cu2ZnSnS4 from Hybrid Functional Calculation;0
Explicit minimisation of a convex quadratic under a general quadratic constraint: a global, analytic approach;1
Morphisms of open games;0
U(1)$\times$SU(2) Gauge Invariance Made Simple for Density Functional Approximations;0
L^2-Betti numbers of rigid C*-tensor categories and discrete quantum groups;0
Hierarchical internal representation of spectral features in deep convolutional networks trained for EEG decoding;1
Global weak solutions in a three-dimensional Keller-Segel-Navier-Stokes system with nonlinear diffusion;0
On Consistency of Compressive Spectral Clustering;0
Large-scale validation of an automatic EEG arousal detection algorithm using different heterogeneous databases;1
Story of the Developments in Statistical Physics of Fracture, Breakdown \& Earthquake: A Personal Account;1
LocalNysation: A bottom up approach to efficient localized kernel regression;1
Evolutionary Acyclic Graph Partitioning;0
Mechanisms of near-surface structural evolution in nanocrystalline materials during sliding contact;0
Generalized Hölder's inequality on Morrey spaces;0
Endomorphism Algebras of Abelian varieties with special reference to Superelliptic Jacobians;1
Ranks of rational points of the Jacobian varieties of hyperelliptic curves;0
A Generalized Function defined by the Euler first kind integral and its connection with the Dirac delta function;0
Optical emission of graphene and electron-hole pair production induced by a strong THz field;1
Occlusion-Aware Risk Assessment for Autonomous Driving in Urban Environments;1
Quantum oscillations and Dirac-Landau levels in Weyl superconductors;1
Parallel Implementation of Efficient Search Schemes for the Inference of Cancer Progression Models;0
"A note on the paper ""Contraction mappings in $b$-metric spaces"" by Czerwik";0
Floquet Analysis of Kuznetsov--Ma breathers: A Path Towards Spectral Stability of Rogue Waves;0
Playing Music in Just Intonation - A Dynamically Adapting Tuning Scheme;0
Photon propagation through linearly active dimers;0
End-to-End Learning of Geometry and Context for Deep Stereo Regression;0
BLADYG: A Graph Processing Framework for Large Dynamic Graphs;0
Variational Inference via Transformations on Distributions;0
VLSI Computational Architectures for the Arithmetic Cosine Transform;1
Simulated Tornado Optimization;0
On a backward problem for multidimensional Ginzburg-Landau equation with random data;1
Electronic and atomic kinetics in solids irradiated with free-electron lasers or swift-heavy ions;0
Network analysis of the COSMOS galaxy field;1
A Functional Taxonomy of Music Generation Systems;0
Covariant representations for singular actions on C*-algebras;0
Control Synthesis for Permutation-Symmetric High-Dimensional Systems With Counting Constraints;1
Commutativity and Commutative Pairs of Some Differential Equations;1
Astrophysical signatures of leptonium;0
Enhancing Stratified Graph Sampling Algorithms based on Approximate Degree Distribution;1
Testing for Balance in Social Networks;0
Empirical Recurrence Rates for Seismic Signals on Planetary Surfaces;0
Landau Damping of Beam Instabilities by Electron Lenses;0
On Algebraic Characterization of SSC of the Jahangir's Graph $\mathcal{J}_{n,m}$;1
Accelerated Gossip via Stochastic Heavy Ball Method;1
Attention-Based Models for Text-Dependent Speaker Verification;0
Escaping the Curse of Dimensionality in Similarity Learning: Efficient Frank-Wolfe Algorithm and Generalization Bounds;1
Automata-Guided Hierarchical Reinforcement Learning for Skill Composition;1
Emergent transport in a many-body open system driven by interacting quantum baths;0
Experimental Investigation of Optimum Beam Size for FSO Uplink;0
The role of surface water in the geometry of Mars' valley networks and its climatic implications;0
An All-in-One Network for Dehazing and Beyond;0
GdPtPb: A non collinear antiferromagnet with distorted Kagomé lattice;0
Belitskii's canonical forms of linear dynamical systems;0
The Geometry of Nodal Sets and Outlier Detection;1
Multimodal Clustering for Community Detection;0
Identification of a space varying coefficient of a linear viscoelastic string of Maxwell-Boltzman type;1
Efficient four-wave mixing at the nanofocus of integrated organic gap plasmon waveguides on silicon;1
Weakly nonergodic dynamics in the Gross--Pitaevskii lattice;1
Does agricultural subsidies foster Italian southern farms? A Spatial Quantile Regression Approach;1
Proton fire hose instabilities in the expanding solar wind;1
Minimax Optimal Rates of Estimation in Functional ANOVA Models with Derivatives;0
Phase Retrieval via Randomized Kaczmarz: Theoretical Guarantees;0
Beyond perturbation 1: de Rham spaces;0
Semantic Web Prefetching Using Semantic Relatedness between Web pages;0
Learning Certifiably Optimal Rule Lists for Categorical Data;1
Cold-Start Reinforcement Learning with Softmax Policy Gradient;0
Implicit Cooperative Positioning in Vehicular Networks;1
A Generalized Accelerated Composite Gradient Method: Uniting Nesterov's Fast Gradient Method and FISTA;1
Piezoresponse of ferroelectric films in ferroionic states: time and voltage dynamics;1
Penalty Alternating Direction Methods for Mixed-Integer Optimization: A New View on Feasibility Pumps;1
Lorentz covariant and gauge invariant description of orbital and spin angular momentum and the non-symmetric energy momentum tensor;1
Dirichlet's theorem and Jacobsthal's function;0
Asymptotic control theory for a closed string;1
Large Scale Replication Projects in Contemporary Psychological Research;0
Intrinsic pinning by naturally occurring correlated defects in FeSe$_\text{1-x}$Te$_\text{x}$ superconductors;1
Models for the Displacement Calculus;0
Labeled homology of higher-dimensional automata;0
Magnetic Actuation and Feedback Cooling of a Cavity Optomechanical Torque Sensor;0
A Maximum Matching Algorithm for Basis Selection in Spectral Learning;1
Bäcklund Transformations for the Boussinesq Equation and Merging Solitons;0
Towards Evolutional Compression;0
Spin inversion in fluorinated graphene n-p junction;0
Brunn-Minkowski inequalities in product metric measure spaces;0
Deep Learning with Low Precision by Half-wave Gaussian Quantization;0
Degenerate cyclotomic Hecke algebras and higher level Heisenberg categorification;0
Intense automorphisms of finite groups;0
The spectra of harmonic layer potential operators on domains with rotationally symmetric conical points;1
Experimental Determination of the Structural Coefficient of Restitution of a Bouncing Asteroid Lander;0
Onset of a modulational instability in trapped dipolar Bose-Einstein condensates;1
Visual Detection of Structural Changes in Time-Varying Graphs Using Persistent Homology;0
Controller Synthesis for Discrete-Time Polynomial Systems via Occupation Measures;1
Lose The Views: Limited Angle CT Reconstruction via Implicit Sinogram Completion;1
A three-dimensional symmetry result for a phase transition equation in the genuinely nonlocal regime;1
The growth of bismuth on Bi$_2$Se$_3$ and the stability of the first bilayer;0
Introduction to Tensor Decompositions and their Applications in Machine Learning;1
Sampling-based vs. Design-based Uncertainty in Regression Analysis;1
Scalable Joint Models for Reliable Uncertainty-Aware Event Prediction;1
Concurrent Coding: A Reason to Think Differently About Encoding Against Noise, Burst Errors and Jamming;1
Traveling dark-bright solitons in a reduced spin-orbit coupled system: application to Bose-Einstein condensates;1
On methods to determine bounds on the Q-factor for a given directivity;1
Nano-optical imaging of monolayer MoSe2 using tip-enhanced photoluminescence;1
Electron paramagnetic resonance and photochromism of $\mathrm{N}_{3}\mathrm{V}^{0}$ in diamond;0
On central leaves of Hodge-type Shimura varieties with parahoric level structure;0
The sequential loss of allelic diversity;1
Online classification of imagined speech using functional near-infrared spectroscopy signals;1
A Parsimonious Dynamical Model for Structural Learning in the Human Brain;1
Estimation of mean residual life;0
Trace-free characters and abelian knot contact homology II;1
Surface Plasmon Excitation of Second Harmonic light: Emission and Absorption;0
Fault diagnosability of data center networks;1
The Effects of Protostellar Disk Turbulence on CO Emission Lines: A Comparison Study of Disks with Constant CO Abundance vs. Chemically Evolving Disks;1
A General Framework of Multi-Armed Bandit Processes by Arm Switch Restrictions;0
Autonomous Urban Localization and Navigation with Limited Information;0
Iterative Refinement for $\ell_p$-norm Regression;0
Minimal free resolution of the associated graded ring of certain monomial curves;1
Knowledge distillation using unlabeled mismatched images;0
Forbidden triads and Creative Success in Jazz: The Miles Davis Factor;1
Structural analysis of rubble-pile asteroids applied to collisional evolution;0
The Imani Periodic Functions: Genesis and Preliminary Results;0
Towards fully automated protein structure elucidation with NMR spectroscopy;1
On families of fibred knots with equal Seifert forms;0
Robust Computation in 2D Absolute EIT (a-EIT) Using D-bar Methods with the `exp' Approximation;1
A Comparison of Spatial-based Targeted Disease Containment Strategies using Mobile Phone Data;1
Attosecond Streaking in the Water Window: A New Regime of Attosecond Pulse Characterization;1
The intrinsic Baldwin effect in broad Balmer lines of six long-term monitored AGNs;0
A Novel Formal Agent-based Simulation Modeling Framework of an AIDS Complex Adaptive System;1
Interplay of Fluorescence and Phosphorescence in Organic Biluminescent Emitters;1
Ion-impact-induced multifragmentation of liquid droplets;1
Planning Hybrid Driving-Stepping Locomotion on Multiple Levels of Abstraction;1
Blackbody Radiation in Classical Physics: A Historical Perspective;1
The Lyman Continuum escape fraction of faint galaxies at z~3.3 in the CANDELS/GOODS-North, EGS, and COSMOS fields with LBC;1
The effect of stellar and AGN feedback on the low redshift Lyman-$α$ forest in the Sherwood simulation suite;1
Asteroid 2017 FZ2 et al.: signs of recent mass-shedding from YORP?;0
On Increasing Self-Confidence in Non-Bayesian Social Learning over Time-Varying Directed Graphs;1
Exploring a search for long-duration transient gravitational waves associated with magnetar bursts;0
Optomechanical characterization of silicon nitride membrane arrays;1
Coupling between a charge density wave and magnetism in an Heusler material;0
Best-Effort FPGA Programming: A Few Steps Can Go a Long Way;0
Towards the study of least squares estimators with convex penalty;0
A Multi-traffic Inter-cell Interference Coordination Scheme in Dense Cellular Networks;0
Distributional Adversarial Networks;0
First order magneto-structural transition and magnetocaloric effect in MnNiGe$_{0.9}$Ga$_{0.1}$;0
Parametric Gaussian Process Regression for Big Data;1
Achieving non-discrimination in prediction;0
Fixing and almost fixing a planar convex body;1
Undersampled dynamic X-ray tomography with dimension reduction Kalman filter;0
End-to-End Sound Source Separation Conditioned On Instrument Labels;0
Group analysis of general Burgers-Korteweg-de Vries equations;0
Evolutionary Generative Adversarial Networks;0
Extended Sammon Projection and Wavelet Kernel Extreme Learning Machine for Gait-Based Legitimate User Identification on Smartphones;1
On the free path length distribution for linear motion in an n-dimensional box;0
Spin-Orbit Misalignments of Three Jovian Planets via Doppler Tomography;1
Accurate parameter estimation for Bayesian Network Classifiers using Hierarchical Dirichlet Processes;1
Modeling and Simulation of the Dynamics of the Quick Return Mechanism: A Bond Graph Approach;1
Nauticle: a general-purpose particle-based simulation tool;1
Local and non-local energy spectra of superfluid $^3$He turbulence;1
Microwave SQUID Multiplexer demonstration for Cosmic Microwave Background Imagers;1
Preserving Differential Privacy Between Features in Distributed Estimation;0
Parallel implementation of a vehicle rail dynamical model for multi-core systems;1
Towards Neural Phrase-based Machine Translation;0
Towards Accurate Multi-person Pose Estimation in the Wild;1
Global band topology of simple and double Dirac-point (semi-)metals;0
Topological Perspectives on Statistical Quantities I;0
A Python Calculator for Supernova Remnant Evolution;1
Über die Präzision interprozeduraler Analysen;0
Gee-Haw Whammy Diddle;0
Cancellation theorem for Grothendieck-Witt-correspondences and Witt-correspondences;0
Jumping across biomedical contexts using compressive data fusion;1
Memories of a Theoretical Physicist;0
Connecting the dots between mechanosensitive channel abundance, osmotic shock, and survival at single-cell resolution;1
Optical Mapping Near-eye Three-dimensional Display with Correct Focus Cues;0
Quantum anomalous Hall state from spatially decaying interactions on the decorated honeycomb lattice;1
Poisson--Gamma Dynamical Systems;0
Best-Choice Edge Grafting for Efficient Structure Learning of Markov Random Fields;1
Cavity-enhanced transport of charge;0
Isoparameteric hypersurfaces in a Randers sphere of constant flag curvature;1
Bright-field microscopy of transparent objects: a ray tracing approach;1
Entropy Production Rate is Maximized in Non-Contractile Actomyosin;1
Intrinsic resolving power of XUV diffraction gratings measured with Fizeau interferometry;0
When do we have the power to detect biological interactions in spatial point patterns?;0
Spectral Algorithms for Computing Fair Support Vector Machines;1
Random matrix approach for primal-dual portfolio optimization problems;1
On a method for constructing the Lax pairs for integrable models via quadratic ansatz;1
Insight into the modeling of seismic waves for detection of underground cavities;0
Uncorrelated far AGN flaring with their delayed UHECRs events;1
How to centralize and normalize quandle extensions;0
Geometric Fluctuation Theorem;0
Exploring home robot capabilities by medium fidelity prototyping;1
Unsupervised Domain Adaptation Based on Source-guided Discrepancy;1
On structured surfaces with defects: geometry, strain incompatibility, internal stress, and natural shapes;1
Management system for the SND experiments;0
Fatiguing STDP: Learning from Spike-Timing Codes in the Presence of Rate Codes;1
Kernel-Based Learning for Smart Inverter Control;1
Temperature fluctuations in a changing climate: an ensemble-based experimental approach;0
Matrix factorizations for quantum complete intersections;1
Coresets for Vector Summarization with Applications to Network Graphs;1
Two-dimensional matter-wave solitons and vortices in competing cubic-quintic nonlinear lattices;1
RELink: A Research Framework and Test Collection for Entity-Relationship Retrieval;1
NimbRo-OP2X: Adult-sized Open-source 3D Printed Humanoid Robot;0
Optical bandgap engineering in nonlinear silicon nitride waveguides;1
Approximate Steepest Coordinate Descent;1
How Robust are Deep Neural Networks?;1
Learning Latent Representations for Speech Generation and Transformation;0
Approximate Profile Maximum Likelihood;0
On the generalized nonlinear Camassa-Holm equation;0
802.11 Wireless Simulation and Anomaly Detection using HMM and UBM;0
Early MFCC And HPCP Fusion for Robust Cover Song Identification;1
Optimally Gathering Two Robots;0
On Grauert-Riemenschneider type criterions;1
P-Governance Technology: Using Big Data for Political Party Management;1
The Forgettable-Watcher Model for Video Question Answering;1
Analogues of the $p^n$th Hilbert symbol in characteristic $p$ (updated);1
GAMER-2: a GPU-accelerated adaptive mesh refinement code -- accuracy, performance, and scalability;1
Partition algebras $\mathsf{P}_k(n)$ with $2k>n$ and the fundamental theorems of invariant theory for the symmetric group $\mathsf{S}_n$;1
Distributed sub-optimal resource allocation over weight-balanced graph via singular perturbation;0
Decentralized P2P Energy Trading under Network Constraints in a Low-Voltage Network;1
Fictitious GAN: Training GANs with Historical Models;1
Suppression of Hall number due to charge density wave order in high-$T_c$ cuprates;0
The Wavefunction of the Collapsing Bose-Einstein Condensate;1
Not-So-Random Features;0
Dual-Primal Graph Convolutional Networks;0
CLEAR: Coverage-based Limiting-cell Experiment Analysis for RNA-seq;0
Training Deep AutoEncoders for Collaborative Filtering;1
Unit circle rectification of the MVDR beamformer;1
Reducing Storage of Global Wind Ensembles with Stochastic Generators;1
Jackknife Empirical Likelihood-based inference for S-Gini indices;0
Continual One-Shot Learning of Hidden Spike-Patterns with Neural Network Simulation Expansion and STDP Convergence Predictions;1
Interpretable High-Dimensional Inference Via Score Projection with an Application in Neuroimaging;0
A maximum principle for free boundary minimal varieties of arbitrary codimension;1
Drawing Big Graphs using Spectral Sparsification;0
Optimal paths on the road network as directed polymers;0
Formal Black-Box Analysis of Routing Protocol Implementations;0
Finding polynomial loop invariants for probabilistic programs;1
Active Decision Boundary Annotation with Deep Generative Models;0
Multifrequency Excitation and Detection Scheme in Apertureless Scattering Near Field Scanning Optical Microscopy;1
Extended Kitaev chain with longer-range hopping and pairing;1
Global entropy solutions to the compressible Euler equations in the isentropic nozzle flow for large data: Application of the modified Godunov scheme and the generalized invariant regions;1
Effects of atrial fibrillation on the arterial fluid dynamics: a modelling perspective;1
Controllability and optimal control of the transport equation with a localized vector field;1
Gravitational instabilities in a protosolar-like disc II: continuum emission and mass estimates;1
Information Processing by Networks of Quantum Decision Makers;0
The Value of Sharing Intermittent Spectrum;0
Origin of layer dependence in band structures of two-dimensional materials;0
From Strings to Sets;1
Sharp measure contraction property for generalized H-type Carnot groups;0
Twisted Quantum Double Model of Topological Orders with Boundaries;0
Evolutionary game of coalition building under external pressure;1
Nearly resolution V plans on blocks of small size;0
Graphene-based electron transport layers in perovskite solar cells: a step-up for an efficient carrier collection;1
Learning and Transferring IDs Representation in E-commerce;0
Differentiable Supervector Extraction for Encoding Speaker and Phrase Information in Text Dependent Speaker Verification;1
In situ accretion of gaseous envelopes on to planetary cores embedded in evolving protoplanetary discs;1
New Two Step Laplace Adam-Bashforth Method for Integer an Non integer Order Partial Differential Equations;1
The Impact of Alternation;0
Partial-wave Coulomb t-matrices for like-charged particles at ground-state energy;1
Robust Causal Estimation in the Large-Sample Limit without Strict Faithfulness;1
The Cross-section of a Spherical Double Cone;1
Understanding looping kinetics of a long polymer molecule in solution. Exact solution for delocalized sink model;1
SESA: Supervised Explicit Semantic Analysis;0
High-Level Concepts for Affective Understanding of Images;0
A Network of Networks Approach to Interconnected Power Grids;0
A Nonparametric Method for Producing Isolines of Bivariate Exceedance Probabilities;1
Finite element error analysis for measure-valued optimal control problems governed by a 1D wave equation with variable coefficients;1
Marked points on translation surfaces;0
Multitask Learning for Fundamental Frequency Estimation in Music;0
Real eigenvalues of a non-self-adjoint perturbation of the self-adjoint Zakharov-Shabat operator;0
Planning with Multiple Biases;0
Zhu reduction for Jacobi $n$-point functions and applications;0
Fourier-like multipliers and applications for integral operators;0
Inferring Properties of the ISM from Supernova Remnant Size Distributions;0
Mining Target Attribute Subspace and Set of Target Communities in Large Attributed Networks;1
Achieving rental harmony with a secretive roommate;0
A Channel-Based Perspective on Conjugate Priors;0
Cascaded Coded Distributed Computing on Heterogeneous Networks;1
A FEL Based on a Superlattice;0
Thermal and non-thermal emission from the cocoon of a gamma-ray burst jet;0
Least Squares Polynomial Chaos Expansion: A Review of Sampling Strategies;1
Efficient Dense Labeling of Human Activity Sequences from Wearables using Fully Convolutional Networks;1
Higher Tetrahedral Algebras;0
Adaptive multi-penalty regularization based on a generalized Lasso path;0
Shape Generation using Spatially Partitioned Point Clouds;0
Open Vocabulary Scene Parsing;0
Parameter Estimation in Mean Reversion Processes with Periodic Functional Tendency;1
User Interface (UI) Design Issues for the Multilingual Users: A Case Study;1
NetSpam: a Network-based Spam Detection Framework for Reviews in Online Social Media;0
Proving Non-Deterministic Computations in Agda;1
NeuroRule: A Connectionist Approach to Data Mining;1
Contextual Explanation Networks;0
Inference for Differential Equation Models using Relaxation via Dynamical Systems;0
Joint Trajectory and Communication Design for UAV-Enabled Multiple Access;1
Imaging the Schwarzschild-radius-scale Structure of M87 with the Event Horizon Telescope using Sparse Modeling;1
The process of purely event-driven programs;1
Partial dust obscuration in active galactic nuclei as a cause of broad-line profile and lag variability, and apparent accretion disc inhomogeneities;1
From Plants to Landmarks: Time-invariant Plant Localization that uses Deep Pose Regression in Agricultural Fields;1
There's more to the multimedia effect than meets the eye: is seeing pictures believing?;0
Methods of Enumerating Two Vertex Maps of Arbitrary Genus;1
Higher Theory and the Three Problems of Physics;0
Light emission by accelerated electric, toroidal and anapole dipolar sources;1
Bayesian Approaches to Distribution Regression;0
Atomic-Scale Structure Relaxation, Chemistry and Charge Distribution of Dislocation Cores in SrTiO3;0
Transição de fase no sistema de Hénon-Heiles (Phase transition in the Henon-Heiles system);0
Self-similar solutions of fragmentation equations revisited;0
Refining Source Representations with Relation Networks for Neural Machine Translation;0
On the Statistical Efficiency of Optimal Kernel Sum Classifiers;1
Ultracold atoms in multiple-radiofrequency dressed adiabatic potentials;0
Distribution Matching in Variational Inference;0
Henkin constructions of models with size continuum;0
Orthogonal groups in characteristic 2 acting on polytopes of high rank;1
Free LSD: Prior-Free Visual Landing Site Detection for Autonomous Planes;0
Semi-supervised and Active-learning Scenarios: Efficient Acoustic Model Refinement for a Low Resource Indian Language;1
Energy spectrum of cascade showers generated by cosmic ray muons in water;1
The limit point of the pentagram map;0
Reconstruction formulas for Photoacoustic Imaging in Attenuating Media;0
Rank Determination for Low-Rank Data Completion;1
Network structure from rich but noisy data;1
Algebraic Foundations of Proof Refinement;1
Transfer Learning for Neural Semantic Parsing;0
Definable Valuations induced by multiplicative subgroups and NIP Fields;1
Bridging the Gap Between Layout Pattern Sampling and Hotspot Detection via Batch Active Learning;0
iCorr : Complex correlation method to detect origin of replication in prokaryotic and eukaryotic genomes;1
On the Power Spectral Density Applied to the Analysis of Old Canvases;0
Simons' type formula for slant submanifolds of complex space form;0
Eco-evolutionary feedbacks - theoretical models and perspectives;0
Unusual behavior of cuprates explained by heterogeneous charge localization;1
An Agile Software Engineering Method to Design Blockchain Applications;1
Optimizing Prediction Intervals by Tuning Random Forest via Meta-Validation;0
Explicit construction of RIP matrices is Ramsey-hard;0
Rocket Launching: A Universal and Efficient Framework for Training Well-performing Light Net;1
The CMS HGCAL detector for HL-LHC upgrade;0
Complete Classification of Generalized Santha-Vazirani Sources;1
"Hermann Hankel's ""On the general theory of motion of fluids"", an essay including an English translation of the complete Preisschrift from 1861";1
Targeted Damage to Interdependent Networks;0
The limit of the Hermitian-Yang-Mills flow on reflexive sheaves;0
High-accuracy phase-field models for brittle fracture based on a new family of degradation functions;1
Straggler Mitigation in Distributed Optimization Through Data Encoding;1
Inference Trees: Adaptive Inference with Exploration;1
Application of backpropagation neural networks to both stages of fingerprinting based WIPS;1
Bayesian Bootstraps for Massive Data;1
Show, Adapt and Tell: Adversarial Training of Cross-domain Image Captioner;1
Faster Fuzzing: Reinitialization with Deep Neural Models;0
Contego: An Adaptive Framework for Integrating Security Tasks in Real-Time Systems;0
Second Order Analysis for Joint Source-Channel Coding with Markovian Source;1
Interface currents and magnetization in singlet-triplet superconducting heterostructures: Role of chiral and helical domains;1
Implicit Weight Uncertainty in Neural Networks;1
A systematic analysis of the XMM-Newton background: III. Impact of the magnetospheric environment;1
DeepPermNet: Visual Permutation Learning;0
ADE String Chains and Mirror Symmetry;1
(non)-automaticity of completely multiplicative sequences having negligible many non-trivial prime factors;1
Timing Aware Dummy Metal Fill Methodology;1
Asymptotic efficiency of the proportional compensation scheme for a large number of producers;0
Non-equilibrium statistical mechanics of continuous attractors;1
Some results on the existence of t-all-or-nothing transforms over arbitrary alphabets;1
Exhaustive Exploration of the Failure-oblivious Computing Search Space;1
Theoretical Accuracy in Cosmological Growth Estimation;1
Model-Robust Counterfactual Prediction Method;1
Exponentiated Generalized Pareto Distribution: Properties and applications towards Extreme Value Theory;0
Learning with Average Top-k Loss;1
Reflexive polytopes arising from perfect graphs;0
Meta Networks;0
Variable selection for clustering with Gaussian mixture models: state of the art;1
Analysing Magnetism Using Scanning SQUID Microscopy;1
Algorithms for solving optimization problems arising from deep neural net models: nonsmooth problems;1
On the essential self-adjointness of singular sub-Laplacians;0
Are Saddles Good Enough for Deep Learning?;0
Monotonicity and enclosure methods for the p-Laplace equation;1
Tension and chemical efficiency of Myosin-II motors;1
Token-based Function Computation with Memory;1
Simple property of heterogeneous aspiration dynamics: Beyond weak selection;0
Warm dark matter and the ionization history of the Universe;0
High quality factor manganese-doped aluminum lumped-element kinetic inductance detectors sensitive to frequencies below 100 GHz;0
Tetramer Bound States in Heteronuclear Systems;1
Dark Energy Cosmological Models with General forms of Scale Factor;1
Mutual Kernel Matrix Completion;1
Quantum Klein Space and Superspace;0
Bayesian Lasso Posterior Sampling via Parallelized Measure Transport;1
Medical Image Synthesis for Data Augmentation and Anonymization using Generative Adversarial Networks;1
Adaptive Feature Representation for Visual Tracking;0
An analysis of the SPARSEVA estimate for the finite sample data case;1
The Remarkable Similarity of Massive Galaxy Clusters From z~0 to z~1.9;0
Rigorous estimates for the relegation algorithm;1
Linear Pentapods with a Simple Singularity Variety;0
Neural Networks as Interacting Particle Systems: Asymptotic Convexity of the Loss Landscape and Universal Scaling of the Approximation Error;1
Adaptive Similar Triangles Method: a Stable Alternative to Sinkhorn's Algorithm for Regularized Optimal Transport;1
Images of Ideals under Derivations and $\mathcal E$-Derivations of Univariate Polynomial Algebras over a Field of Characteristic Zero;1
Maximum genus of the Jenga like configurations;0
A Decidable Very Expressive Description Logic for Databases (Extended Version);1
Cloud-based Deep Learning of Big EEG Data for Epileptic Seizure Prediction;1
Centrality measures for graphons: Accounting for uncertainty in networks;1
A time-periodic mechanical analog of the quantum harmonic oscillator;1
Anharmonicity and the isotope effect in superconducting lithium at high pressures: a first-principles approach;0
Time-resolved polarimetry of the superluminous SN 2015bn with the Nordic Optical Telescope;0
Deep Bayesian Active Learning with Image Data;1
Robust Optical Flow Estimation in Rainy Scenes;1
Thermophysical Phenomena in Metal Additive Manufacturing by Selective Laser Melting: Fundamentals, Modeling, Simulation and Experimentation;0
Numerical Methods for Pulmonary Image Registration;1
Solving Non-parametric Inverse Problem in Continuous Markov Random Field using Loopy Belief Propagation;1
Topology Adaptive Graph Convolutional Networks;0
Suspensions of finite-size neutrally-buoyant spheres in turbulent duct flow;0
Far-from-equilibrium transport of excited carriers in nanostructures;1
On annihilators of bounded $(\frak g, \frak k)$-modules;0
Neutron Star Planets: Atmospheric processes and habitability;1
Discrete Time-Crystalline Order in Cavity and Circuit QED Systems;1
On the number of solutions of some transcendental equations;0
Relaxation of p-growth integral functionals under space-dependent differential constraints;1
Simultaneous shot inversion for nonuniform geometries using fast data interpolation;1
Critical neural networks with short and long term plasticity;1
Harnessing functional segregation across brain rhythms as a means to detect EEG oscillatory multiplexing during music listening;1
